Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World
Pro Evolution Soccer 2017,PS4,2016,Sports,Konami Digital Entertainment,0.05,0.39,0.15,0.08
NHL 16,PS4,2015,Sports,Electronic Arts,0.38,0.16,0,0.12
Rocksmith 2014,PS4,2014,Misc,Ubisoft,0.36,0.17,0,0.11
Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,0.23,0.23,0.09,0.09
Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,0.22,0.29,0.01,0.1
MLB The Show 17,PS4,2017,Sports,Sony Computer Entertainment,0.5,0,0,0.12
Ni-Oh,PS4,2017,Action,Tecmo Koei,0.2,0.18,0.16,0.08
LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.14,0.38,0,0.09
NHL 15,PS4,2014,Sports,Electronic Arts,0.32,0.19,0,0.11
Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix,0.24,0.24,0.01,0.1
Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,Electronic Arts,0.22,0.26,0,0.09
Resident Evil: Revelations 2,PS4,2015,Action,Capcom,0.14,0.24,0.11,0.07
BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive,0.19,0.26,0.03,0.09
The Amazing Spider-Man 2 (2014),PS4,2014,Action,Activision,0.2,0.25,0.02,0.09
Until Dawn: Rush of Blood,PS4,2016,Adventure,Sony Computer Entertainment,0.28,0.17,0,0.09
Lords of the Fallen,PS4,2014,Role-Playing,Square Enix,0.19,0.24,0.02,0.08
Rory McIlroy PGA Tour,PS4,2015,Action,Electronic Arts,0.19,0.25,0,0.09
NieR Automata,PS4,2017,Role-Playing,Square Enix,0.11,0.09,0.28,0.04
One Piece: Pirate Warriors 3,PS4,2015,Action,Namco Bandai Games,0.11,0.22,0.11,0.06
Assassin's Creed The Ezio Collection,PS4,2016,Action,Ubisoft,0.08,0.33,0.01,0.07
One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games,0.14,0.21,0.09,0.07
Destiny: The Collection,PS4,2016,Shooter,Activision,0.13,0.27,0.02,0.08
Skylanders: Trap Team,PS4,2014,Action,Activision,0.23,0.18,0,0.08
DiRT Rally,PS4,2016,Racing,Codemasters,0.11,0.3,0,0.08
Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,Square Enix,0.08,0.13,0.24,0.04
The Walking Dead: Season One,PS4,2014,Adventure,Telltale Games,0.12,0.25,0.03,0.07
Rock Band 4,PS4,2015,Misc,Harmonix Music Systems,0.33,0.05,0,0.09
Batman: Return to Arkham,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.12,0.26,0,0.07
Wolfenstein: The Old Blood,PS4,2015,Action,Bethesda Softworks,0.11,0.25,0.02,0.07
World of Final Fantasy,PS4,2016,Role-Playing,Square Enix,0.11,0.18,0.09,0.06
NHL 17,PS4,2016,Sports,Electronic Arts,0.26,0.1,0,0.08
Tales of Zestiria,PS4,2015,Role-Playing,Namco Bandai Games,0.18,0.16,0.04,0.07
Homefront: The Revolution,PS4,2016,Shooter,Deep Silver,0.09,0.25,0.04,0.06
Tales of Berseria,PS4,2016,Role-Playing,Namco Bandai Games,0.11,0.05,0.24,0.03
Battleborn,PS4,2016,Shooter,Take-Two Interactive,0.23,0.11,0.03,0.07
TrackMania Turbo,PS4,2016,Action,Ubisoft,0.04,0.33,0,0.06
Sleeping Dogs,PS4,2014,Action,Square Enix,0.16,0.2,0,0.07
Life is Strange,PS4,2016,Adventure,Square Enix,0.16,0.16,0.05,0.06
Just Dance 2014,PS4,2013,Misc,Ubisoft,0.2,0.16,0,0.07
Trials Fusion,PS4,2014,Racing,Ubisoft,0.13,0.22,0.01,0.07
PlayStation VR Worlds,PS4,2016,Misc,Sony Computer Entertainment,0.19,0.14,0.02,0.07
Dishonored,PS4,2015,Action,Bethesda Softworks,0.12,0.2,0.02,0.06
Saints Row IV,PS4,2015,Action,Deep Silver,0.14,0.18,0.03,0.06
Resident Evil Zero,PS4,2016,Action,Capcom,0.1,0.18,0.07,0.05
Skylanders SWAP Force,PS4,2013,Platform,Activision,0.21,0.12,0,0.07
Persona 5,PS4,2016,Role-Playing,Atlus,0,0,0.4,0
Attack on Titan (KOEI),PS4,2016,Action,Tecmo Koei,0.06,0.17,0.12,0.04
Star Ocean 5: Integrity and Faithlessness,PS4,2016,Role-Playing,Square Enix,0.09,0.11,0.16,0.04
Just Dance 2015,PS4,2014,Misc,Ubisoft,0.2,0.13,0,0.07
Mirror's Edge Catalyst,PS4,2016,Platform,Electronic Arts,0.14,0.17,0.03,0.06
Just Dance 2016,PS4,2015,Misc,Ubisoft,0.19,0.13,0,0.07
Skylanders: SuperChargers,PS4,2015,Action,Activision,0.22,0.08,0,0.07
LEGO Harry Potter Collection,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.05,0.26,0,0.06
Kingdom Hearts 1.5 + 2.5 Remix,PS4,2017,Role-Playing,Square Enix,0.15,0.06,0.1,0.05
Farming Simulator 2015,PS4,2015,Simulation,Koch Media,0.11,0.2,0,0.06
Batman: Arkham VR,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.29,0,0,0.07
Hitman (2016),PS4,2017,Action,Square Enix,0.12,0.17,0,0.06
Yakuza Zero: The Place of Oath,PS4,2015,Action,Sega,0.08,0.05,0.19,0.03
Dead or Alive 5,PS4,2015,Fighting,Tecmo Koei,0.09,0.13,0.09,0.04
Yakuza 6,PS4,2016,Action,Sega,0,0,0.35,0
Disgaea 5: Alliance of Vengeance,PS4,2015,Role-Playing,Nippon Ichi Software,0.14,0.08,0.07,0.05
Tropico 5,PS4,2015,Simulation,Kalypso Media,0.07,0.16,0.06,0.04
Deadpool,PS4,2015,Action,Activision,0.17,0.11,0,0.06
Murdered: Soul Suspect,PS4,2014,Action,Square Enix,0.09,0.16,0.02,0.05
Skylanders Imaginators,PS4,2016,Platform,Activision,0.12,0.15,0,0.05
Payday 2,PS4,2015,Shooter,505 Games,0.12,0.14,0,0.05
Divinity: Original Sin,PS4,2015,Role-Playing,Focus Home Interactive,0.11,0.12,0.04,0.04
UEFA Euro 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0.22,0.05,0.04
DmC: Devil May Cry,PS4,2015,Action,Capcom,0.12,0.13,0,0.05
J Stars Victory Vs.,PS4,2015,Fighting,Namco Bandai Games,0.11,0.14,0,0.05
Dynasty Warriors 8: Xtreme Legends,PS4,2014,Action,Tecmo Koei,0.09,0.11,0.06,0.04
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016,Action,Square Enix,0,0,0.3,0
Sword Art Online: Lost Song,PS4,2015,Role-Playing,Namco Bandai Games,0.14,0.11,0,0.05
Sherlock Holmes: Crimes & Punishments,PS4,2014,Adventure,Focus Home Interactive,0.1,0.14,0,0.05
Sword Art Online: Hollow Realization,PS4,2016,Role-Playing,Namco Bandai Games,0.09,0.04,0.11,0.03
Saint Seiya: Soldiers' Soul,PS4,2015,Fighting,Namco Bandai Games,0,0.19,0.05,0.03
Tearaway Unfolded,PS4,2015,Platform,Sony Computer Entertainment,0.1,0.13,0,0.04
The Walking Dead: Season Two,PS4,2014,Adventure,Telltale Games,0.11,0.09,0.03,0.04
Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,Nippon Ichi Software,0.11,0.04,0.09,0.03
